City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
4,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Colon,PA,83.01,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
12,Mataura,NZ,70.75,overcast clouds,-46.1927,168.8643,Ellie's Villa
14,Sao Felix Do Xingu,BR,73.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
20,Rikitea,PF,74.79,scattered clouds,-23.1203,-134.9692,People ThankYou
23,Morondava,MG,73.13,clear sky,-20.2833,44.2833,La Case Bambou
27,Kavieng,PG,84.79,light rain,-2.5744,150.7967,Nusa Island Retreat
28,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
30,Porto Franco,BR,79.2,overcast clouds,-6.3383,-47.3992,Saint Louis Hotel
34,Butaritari,KI,81.97,clear sky,3.0707,172.7902,Isles Sunset Lodge
35,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
39,Coahuayana,MX,78.89,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
40,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
44,Adlay,PH,84.34,overcast clouds,9.4097,125.8975,
45,Esperance,AU,71.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
49,Inirida,CO,75.16,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
51,Byron Bay,AU,78.87,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
53,Hithadhoo,MV,83.03,few clouds,-0.6,73.0833,Scoop Guest House
54,Dakar,SN,79.68,light rain,14.6937,-17.4441,Redface Studios Meublés
55,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Flinders,AU,70.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
66,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
67,Bexhill,AU,74.84,light rain,-28.7667,153.35,Caress Care Counselling & Equine Assisted Learning
69,Victoria Point,AU,83.44,overcast clouds,-27.5833,153.3,Bay Retreat Motel
70,Davila,PH,82.38,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
73,Sao Joao Da Barra,BR,72.57,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
74,Meulaboh,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
77,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
78,Saint George,US,72.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
80,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
81,Kisaran,ID,78.69,heavy intensity rain,2.9845,99.6158,Penginapan Batubara1
84,Hamilton,US,70.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
87,Sao Filipe,CV,78.12,scattered clouds,14.8961,-24.4956,Hotel Xaguate
89,Fare,PF,76.73,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
90,Tombouctou,ML,84.87,scattered clouds,20.0,-3.0,
93,Providencia,MX,85.48,few clouds,28.7167,-111.5833,
95,Loandjili,CG,78.91,light rain,-4.7561,11.8578,Résidence ARCHANGE
96,Kulhudhuffushi,MV,81.93,overcast clouds,6.6221,73.07,Haajy Guest House 1
104,Port Keats,AU,90.79,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
107,Tabou,CI,77.16,overcast clouds,4.423,-7.3528,hotêl doufoulougou
112,Balsas,BR,79.18,few clouds,-7.5325,-46.0356,Novo Hotel
115,Kaeo,NZ,72.32,scattered clouds,-35.1,173.7833,Bushido Lodge
118,Caborca,MX,77.49,clear sky,30.5838,-111.101,Hotel Los Lagos
120,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
123,Kirakira,SB,85.33,few clouds,-10.4544,161.9205,SanBiz Lodge
