City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-10-25 00:48:56,22.0752,-159.319,broken clouds,84.18,76,75,5.01
1,Qaanaaq,GL,2021-10-25 00:47:21,77.484,-69.3632,clear sky,-5.22,60,0,10.27
2,Sheridan,US,2021-10-25 00:49:48,44.8333,-106.9173,clear sky,55.78,46,1,1.01
3,Atuona,PF,2021-10-25 00:46:32,-9.8,-139.0333,clear sky,78.19,73,8,18.99
4,Vaini,TO,2021-10-25 00:49:49,-21.2,-175.2,few clouds,78.96,78,20,13.8
5,Dikson,RU,2021-10-25 00:49:49,73.5069,80.5464,overcast clouds,10.76,88,100,17.83
6,Ancud,CL,2021-10-25 00:46:39,-41.8697,-73.8203,overcast clouds,54.43,85,100,18.66
7,Rio Grande,BR,2021-10-25 00:49:50,-32.035,-52.0986,clear sky,52.95,70,0,8.23
8,Rocha,UY,2021-10-25 00:49:50,-34.4833,-54.3333,clear sky,60.73,57,0,13.33
9,Hualmay,PE,2021-10-25 00:49:50,-11.0964,-77.6139,scattered clouds,63.32,80,46,10.31
10,Khatanga,RU,2021-10-25 00:48:40,71.9667,102.5,overcast clouds,0.23,89,99,16.37
11,Colon,PA,2021-10-25 00:49:51,9.3592,-79.9014,overcast clouds,83.01,84,89,3.0
12,Mataura,NZ,2021-10-25 00:48:32,-46.1927,168.8643,overcast clouds,70.75,52,100,4.85
13,Santa Cruz,BO,2021-10-25 00:49:51,-17.8,-63.1667,broken clouds,67.46,83,75,4.61
14,Sao Felix Do Xingu,BR,2021-10-25 00:49:52,-6.6447,-51.995,scattered clouds,73.62,90,27,1.32
15,Hermanus,ZA,2021-10-25 00:48:40,-34.4187,19.2345,clear sky,53.91,77,0,9.53
16,Hobart,AU,2021-10-25 00:49:17,-42.8794,147.3294,broken clouds,56.05,67,75,4.0
17,Provideniya,RU,2021-10-25 00:46:43,64.3833,-173.3,clear sky,26.71,59,0,4.47
18,Forssa,FI,2021-10-25 00:49:52,60.8146,23.6215,overcast clouds,47.91,94,100,11.18
19,Lebu,CL,2021-10-25 00:46:01,-37.6167,-73.65,scattered clouds,51.87,95,50,4.14
20,Rikitea,PF,2021-10-25 00:46:29,-23.1203,-134.9692,scattered clouds,74.79,76,25,17.4
21,West Chicago,US,2021-10-25 00:49:53,41.8847,-88.204,heavy intensity rain,49.12,88,90,5.01
22,Marfino,RU,2021-10-25 00:49:53,55.7028,37.3822,few clouds,31.08,84,20,6.71
23,Morondava,MG,2021-10-25 00:49:53,-20.2833,44.2833,clear sky,73.13,53,0,3.94
24,Jamestown,US,2021-10-25 00:45:53,42.097,-79.2353,light rain,51.3,99,90,1.99
25,Aqtobe,KZ,2021-10-25 00:49:54,50.2797,57.2072,broken clouds,42.89,56,75,4.47
26,Sept-Iles,CA,2021-10-25 00:47:36,50.2001,-66.3821,overcast clouds,47.05,78,90,1.01
27,Kavieng,PG,2021-10-25 00:49:54,-2.5744,150.7967,light rain,84.79,68,21,10.33
28,Alofi,NU,2021-10-25 00:48:00,-19.0595,-169.9187,light rain,82.29,51,32,18.41
29,Mar Del Plata,AR,2021-10-25 00:49:10,-38.0023,-57.5575,clear sky,64.09,56,0,3.0
30,Porto Franco,BR,2021-10-25 00:49:55,-6.3383,-47.3992,overcast clouds,79.2,75,89,3.58
31,Chuy,UY,2021-10-25 00:49:55,-33.6971,-53.4616,clear sky,57.96,66,0,10.98
32,Terrace,CA,2021-10-25 00:49:42,54.5163,-128.6035,overcast clouds,49.91,57,90,16.11
33,Khorixas,NA,2021-10-25 00:49:55,-20.3667,14.9667,clear sky,56.43,52,5,3.02
34,Butaritari,KI,2021-10-25 00:48:45,3.0707,172.7902,clear sky,81.97,72,1,3.6
35,Bambous Virieux,MU,2021-10-25 00:46:51,-20.3428,57.7575,scattered clouds,73.65,78,40,11.5
36,Geraldton,AU,2021-10-25 00:47:23,-28.7667,114.6,overcast clouds,68.41,64,90,12.66
