City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Inta,RU,2021-10-24 04:42:16,66.0317,60.1659,21.65,95,49,13.47
1,Songjianghe,CN,2021-10-24 04:42:17,42.1859,127.479,51.21,36,0,4.94
2,Albany,US,2021-10-24 04:37:56,42.6001,-73.9662,46.8,81,54,1.99
3,Flin Flon,CA,2021-10-24 04:33:47,54.7682,-101.865,37.9,71,98,10.22
4,Hilo,US,2021-10-24 04:42:17,19.7297,-155.09,76.73,79,40,3.44
5,Sabha,LY,2021-10-24 04:42:18,27.0377,14.4283,73.31,25,41,13.89
6,Torbay,CA,2021-10-24 04:42:18,47.6666,-52.7314,58.75,97,90,11.5
7,Weinan,CN,2021-10-24 04:42:18,34.5036,109.5089,62.29,57,12,3.22
8,Sumbe,AO,2021-10-24 04:42:19,-11.2061,13.8437,74.75,79,99,1.54
9,College,US,2021-10-24 04:38:22,64.8569,-147.8028,33.91,85,40,3.44
10,Atuona,PF,2021-10-24 04:42:19,-9.8,-139.0333,78.15,77,19,19.64
11,Butaritari,KI,2021-10-24 04:42:20,3.0707,172.7902,81.25,70,36,4.18
12,Saint Pete Beach,US,2021-10-24 04:42:20,27.7253,-82.7412,79.0,73,100,1.01
13,Rikitea,PF,2021-10-24 04:42:20,-23.1203,-134.9692,75.02,78,100,18.19
14,Majene,ID,2021-10-24 04:42:21,-3.5403,118.9707,86.25,64,25,6.53
15,Ushuaia,AR,2021-10-24 04:42:21,-54.8,-68.3,33.46,80,90,11.5
16,Mataura,NZ,2021-10-24 04:42:21,-46.1927,168.8643,56.03,87,99,3.89
17,Bambous Virieux,MU,2021-10-24 04:42:21,-20.3428,57.7575,79.21,78,40,13.8
18,Hithadhoo,MV,2021-10-24 04:42:22,-0.6,73.0833,83.12,73,88,13.76
19,Bluff,NZ,2021-10-24 04:42:22,-46.6,168.3333,51.55,95,100,8.7
20,Qaqortoq,GL,2021-10-24 04:42:22,60.7167,-46.0333,34.3,62,25,5.66
21,Marsh Harbour,BS,2021-10-24 04:42:23,26.5412,-77.0636,80.38,74,67,12.15
22,Vardo,NO,2021-10-24 04:42:23,70.3705,31.1107,37.38,64,56,24.94
23,Vaini,TO,2021-10-24 04:42:24,-21.2,-175.2,77.16,73,20,9.22
24,Le Port,RE,2021-10-24 04:42:24,-20.9373,55.2919,80.56,89,13,7.99
